,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
338,40.9579,26.0971,2023-08-02,1148,not fire,0.6936,0.3364
339,38.0298,24.5324,2023-07-14,857,not fire,0.5786,0.3228
340,36.2149,28.045,2023-08-13,1111,not fire,0.8911,0.5587
341,40.9958,26.0251,2023-08-02,43,not fire,0.7314,0.4157
342,36.1627,27.9468,2023-08-11,2016,not fire,0.7871,0.4847
343,40.8716,26.0257,2023-08-29,1943,not fire,0.7948,0.4628
344,38.5413,23.6422,2023-08-01,1926,not fire,0.806,0.5327
345,38.1229,23.4751,2023-08-07,946,not fire,0.8126,0.4717
346,36.159,27.9256,2023-08-12,817,not fire,0.7905,0.4867
347,39.769,19.8493,2023-08-04,1154,not fire,0.5913,0.4568
348,41.0059,26.0779,2023-08-02,43,not fire,0.8139,0.462
349,40.899,25.8789,2023-08-22,43,fire,0.813,0.5317
350,40.9849,26.0346,2023-08-12,43,not fire,0.5929,0.3268
351,36.2189,27.9777,2023-08-01,2016,not fire,0.9083,0.5332
352,41.222,26.1879,2023-08-10,2039,not fire,0.7007,0.4941
353,41.1105,26.0601,2023-08-14,1950,not fire,0.792,0.4573
354,40.9042,25.7486,2023-08-02,1148,not fire,0.7527,0.3883
355,36.0088,27.8747,2023-08-04,2040,not fire,0.7176,0.4593
356,41.1962,26.2142,2023-08-21,837,not fire,0.6253,0.3922
357,40.9379,25.7923,2023-08-22,1148,fire,0.5221,0.3265
358,41.0384,26.107,2023-08-31,1926,not fire,0.8007,0.4077
359,41.0055,26.1673,2023-08-13,1052,not fire,0.6128,0.2694
360,41.0806,26.0391,2023-08-23,1052,fire,0.6713,0.4291
361,36.0545,27.8916,2023-07-15,1902,not fire,0.8871,0.7141
362,41.125,26.0325,2023-08-16,1119,not fire,0.5723,0.3356
363,41.1298,25.2105,2023-08-11,1926,not fire,0.7153,0.4088
364,36.0857,27.9639,2023-08-01,2016,not fire,0.8762,0.5569
365,38.9318,22.0896,2023-08-02,1147,not fire,0.8109,0.5688
366,38.3267,22.7153,2023-08-22,1147,fire,0.6563,0.426
367,38.1603,23.4855,2023-07-08,1154,not fire,0.7613,0.5078
368,40.9375,25.8422,2023-08-22,902,fire,0.7885,0.4997
369,40.959,25.6946,2023-08-12,2007,not fire,0.7367,0.4232
370,41.1752,26.2112,2023-08-21,1942,not fire,0.4481,0.2572
371,38.2522,22.8728,2023-08-22,44,fire,0.6642,0.4345
